flightNo,departureDate,arrivalDate,totalNumSeats,numSeatsSold
BN3,2020-05-05,2020-05-05,920,802
BN3,2020-05-12,2020-05-12,920,523
BN3,2020-05-19,2020-05-19,920,866
BN3,2020-05-26,2020-05-26,920,35
BN3,2020-06-02,2020-06-02,920,481
BN3,2020-06-09,2020-06-09,920,844
BN3,2020-06-16,2020-06-16,920,907
BN3,2020-06-23,2020-06-23,920,658
BN3,2020-06-30,2020-06-30,920,806
BN3,2020-07-07,2020-07-07,920,873
BN3,2020-07-14,2020-07-14,920,71
BN3,2020-07-21,2020-07-21,920,591
BN3,2020-07-28,2020-07-28,920,491
BN3,2020-08-04,2020-08-04,920,348
BN3,2020-08-11,2020-08-11,920,41
BN3,2020-08-18,2020-08-18,920,912
BN3,2020-08-25,2020-08-25,920,661
BN3,2020-09-01,2020-09-01,920,819
BN3,2020-09-08,2020-09-08,920,412
BN3,2020-09-15,2020-09-15,920,806
BN3,2020-09-22,2020-09-22,920,303
BN3,2020-09-29,2020-09-29,920,462
BN3,2020-10-06,2020-10-06,920,527
BN3,2020-10-13,2020-10-13,920,373
BN3,2020-10-20,2020-10-20,920,91
BN3,2020-10-27,2020-10-27,920,918
BN3,2020-11-03,2020-11-03,920,330
BN3,2020-11-10,2020-11-10,920,286
BN3,2020-11-17,2020-11-17,920,253
BN3,2020-11-24,2020-11-24,920,546
WK4,2020-01-06,2020-01-06,679,5
WK4,2020-01-13,2020-01-13,679,22
WK4,2020-01-20,2020-01-20,679,439
WK4,2020-01-27,2020-01-27,679,250
WK4,2020-02-03,2020-02-03,679,224
WK4,2020-02-10,2020-02-10,679,299
WK4,2020-02-17,2020-02-17,679,315
WK4,2020-02-24,2020-02-24,679,486
WK4,2020-03-02,2020-03-02,679,640
WK4,2020-03-09,2020-03-09,679,144
WK4,2020-03-16,2020-03-16,679,416
WK4,2020-03-23,2020-03-23,679,287
WK4,2020-03-30,2020-03-30,679,284
WK4,2020-04-06,2020-04-06,679,54
WK4,2020-04-13,2020-04-13,679,22
WK4,2020-04-20,2020-04-20,679,389
WK4,2020-04-27,2020-04-27,679,567
WK4,2020-05-04,2020-05-04,679,471
WK4,2020-05-11,2020-05-11,679,409
WK4,2020-05-18,2020-05-18,679,142
WK4,2020-05-25,2020-05-25,679,499
WK4,2020-06-01,2020-06-01,679,394
WK4,2020-06-08,2020-06-08,679,662
WK4,2020-06-15,2020-06-15,679,426
WK4,2020-06-22,2020-06-22,679,229
WK4,2020-06-29,2020-06-29,679,199
WK4,2020-07-06,2020-07-06,679,389
WK4,2020-07-13,2020-07-13,679,519
WK4,2020-07-20,2020-07-20,679,34
WK4,2020-07-27,2020-07-27,679,186
WK4,2020-08-03,2020-08-03,679,433
WK4,2020-08-10,2020-08-10,679,300
WK4,2020-08-17,2020-08-17,679,265
WK4,2020-08-24,2020-08-24,679,121
WK4,2020-08-31,2020-08-31,679,136
WK4,2020-09-07,2020-09-07,679,451
WK4,2020-09-14,2020-09-14,679,477
WK4,2020-09-21,2020-09-21,679,356
WK4,2020-09-28,2020-09-28,679,222
WK4,2020-10-05,2020-10-05,679,323
WK4,2020-10-12,2020-10-12,679,494
WK4,2020-10-19,2020-10-19,679,52
WK4,2020-10-26,2020-10-26,679,593
WK4,2020-11-02,2020-11-02,679,118
WK4,2020-11-09,2020-11-09,679,521
WK4,2020-11-16,2020-11-16,679,665
WK4,2020-11-23,2020-11-23,679,312
EW5,2020-01-03,2020-01-03,275,171
EW5,2020-01-10,2020-01-10,275,174
EW5,2020-01-17,2020-01-17,275,246
EW5,2020-01-24,2020-01-24,275,99
EW5,2020-01-31,2020-01-31,275,228
EW5,2020-02-07,2020-02-07,275,91
EW5,2020-02-14,2020-02-14,275,82
EW5,2020-02-21,2020-02-21,275,165
EW5,2020-02-28,2020-02-28,275,33
EW5,2020-03-06,2020-03-06,275,54
EW5,2020-03-13,2020-03-13,275,118
EW5,2020-03-20,2020-03-20,275,154
EW5,2020-03-27,2020-03-27,275,56
EW5,2020-04-03,2020-04-03,275,181
EW5,2020-04-10,2020-04-10,275,67
EW5,2020-04-17,2020-04-17,275,92
EW5,2020-04-24,2020-04-24,275,77
EW5,2020-05-01,2020-05-01,275,198
EW5,2020-05-08,2020-05-08,275,194
EW5,2020-05-15,2020-05-15,275,107
EW5,2020-05-22,2020-05-22,275,179
EW5,2020-05-29,2020-05-29,275,196
EW5,2020-06-05,2020-06-05,275,232
EW5,2020-06-12,2020-06-12,275,205
EW5,2020-06-19,2020-06-19,275,73
EW5,2020-06-26,2020-06-26,275,159
EW5,2020-07-03,2020-07-03,275,43
EW5,2020-07-10,2020-07-10,275,83
EW5,2020-07-17,2020-07-17,275,77
EW5,2020-07-24,2020-07-24,275,113
EW5,2020-07-31,2020-07-31,275,87
EW5,2020-08-07,2020-08-07,275,20
EW5,2020-08-14,2020-08-14,275,205
EW5,2020-08-21,2020-08-21,275,174
EW5,2020-08-28,2020-08-28,275,159
EW5,2020-09-04,2020-09-04,275,155
EW5,2020-09-11,2020-09-11,275,203
EW5,2020-09-18,2020-09-18,275,164
EW5,2020-09-25,2020-09-25,275,168
EW5,2020-10-02,2020-10-02,275,256
EW5,2020-10-09,2020-10-09,275,273
EW5,2020-10-16,2020-10-16,275,221
EW5,2020-10-23,2020-10-23,275,94
EW5,2020-10-30,2020-10-30,275,159
EW5,2020-11-06,2020-11-06,275,23
EW5,2020-11-13,2020-11-13,275,237
EW5,2020-11-20,2020-11-20,275,111
ZP6,2020-01-06,2020-01-06,238,107
ZP6,2020-01-13,2020-01-13,238,181
ZP6,2020-01-20,2020-01-20,238,204
ZP6,2020-01-27,2020-01-27,238,107
ZP6,2020-02-03,2020-02-03,238,21
ZP6,2020-02-10,2020-02-10,238,157
ZP6,2020-02-17,2020-02-17,238,90
ZP6,2020-02-24,2020-02-24,238,23
ZP6,2020-03-02,2020-03-02,238,109
ZP6,2020-03-09,2020-03-09,238,138
ZP6,2020-03-16,2020-03-16,238,136
ZP6,2020-03-23,2020-03-23,238,64
ZP6,2020-03-30,2020-03-30,238,179
ZP6,2020-04-06,2020-04-06,238,44
ZP6,2020-04-13,2020-04-13,238,215
ZP6,2020-04-20,2020-04-20,238,235
ZP6,2020-04-27,2020-04-27,238,101
ZP6,2020-05-04,2020-05-04,238,127
ZP6,2020-05-11,2020-05-11,238,56
ZP6,2020-05-18,2020-05-18,238,93
ZP6,2020-05-25,2020-05-25,238,176
ZP6,2020-06-01,2020-06-01,238,117
ZP6,2020-06-08,2020-06-08,238,206
ZP6,2020-06-15,2020-06-15,238,162
ZP6,2020-06-22,2020-06-22,238,96
ZP6,2020-06-29,2020-06-29,238,99
ZP6,2020-07-06,2020-07-06,238,1
ZP6,2020-07-13,2020-07-13,238,124
ZP6,2020-07-20,2020-07-20,238,119
ZP6,2020-07-27,2020-07-27,238,5
ZP6,2020-08-03,2020-08-03,238,165
ZP6,2020-08-10,2020-08-10,238,0
ZP6,2020-08-17,2020-08-17,238,87
ZP6,2020-08-24,2020-08-24,238,221
ZP6,2020-08-31,2020-08-31,238,147
ZP6,2020-09-07,2020-09-07,238,40
ZP6,2020-09-14,2020-09-14,238,232
ZP6,2020-09-21,2020-09-21,238,128
ZP6,2020-09-28,2020-09-28,238,4
ZP6,2020-10-05,2020-10-05,238,227
ZP6,2020-10-12,2020-10-12,238,226
ZP6,2020-10-19,2020-10-19,238,148
ZP6,2020-10-26,2020-10-26,238,118
ZP6,2020-11-02,2020-11-02,238,2
ZP6,2020-11-09,2020-11-09,238,114
ZP6,2020-11-16,2020-11-16,238,137
ZP6,2020-11-23,2020-11-23,238,40
H27,2020-01-01,2020-01-01,440,82
H27,2020-01-08,2020-01-08,440,284
H27,2020-01-15,2020-01-15,440,15
H27,2020-01-22,2020-01-22,440,343
H27,2020-01-29,2020-01-29,440,123
H27,2020-02-05,2020-02-05,440,282
H27,2020-02-12,2020-02-12,440,261
H27,2020-02-19,2020-02-19,440,30
H27,2020-02-26,2020-02-26,440,342
H27,2020-03-04,2020-03-04,440,391
H27,2020-03-11,2020-03-11,440,374
H27,2020-03-18,2020-03-18,440,346
H27,2020-03-25,2020-03-25,440,392
H27,2020-04-01,2020-04-01,440,421
H27,2020-04-08,2020-04-08,440,126
H27,2020-04-15,2020-04-15,440,367
H27,2020-04-22,2020-04-22,440,407
H27,2020-04-29,2020-04-29,440,307
H27,2020-05-06,2020-05-06,440,120
H27,2020-05-13,2020-05-13,440,366
H27,2020-05-20,2020-05-20,440,296
H27,2020-05-27,2020-05-27,440,402
H27,2020-06-03,2020-06-03,440,376
H27,2020-06-10,2020-06-10,440,413
H27,2020-06-17,2020-06-17,440,328
H27,2020-06-24,2020-06-24,440,369
H27,2020-07-01,2020-07-01,440,112
H27,2020-07-08,2020-07-08,440,230
H27,2020-07-15,2020-07-15,440,34
H27,2020-07-22,2020-07-22,440,175
H27,2020-07-29,2020-07-29,440,27
H27,2020-08-05,2020-08-05,440,246
H27,2020-08-12,2020-08-12,440,138
H27,2020-08-19,2020-08-19,440,102
H27,2020-08-26,2020-08-26,440,298
H27,2020-09-02,2020-09-02,440,58
H27,2020-09-09,2020-09-09,440,333
H27,2020-09-16,2020-09-16,440,27
H27,2020-09-23,2020-09-23,440,14
H27,2020-09-30,2020-09-30,440,147
H27,2020-10-07,2020-10-07,440,398
H27,2020-10-14,2020-10-14,440,247
H27,2020-10-21,2020-10-21,440,88
H27,2020-10-28,2020-10-28,440,255
H27,2020-11-04,2020-11-04,440,258
H27,2020-11-11,2020-11-11,440,425
H27,2020-11-18,2020-11-18,440,296
GV8,2020-01-07,2020-01-07,283,62
GV8,2020-01-14,2020-01-14,283,250
GV8,2020-01-21,2020-01-21,283,279
GV8,2020-01-28,2020-01-28,283,50
GV8,2020-02-04,2020-02-04,283,177
GV8,2020-02-11,2020-02-11,283,267
GV8,2020-02-18,2020-02-18,283,258
GV8,2020-02-25,2020-02-25,283,107
GV8,2020-03-03,2020-03-03,283,38
GV8,2020-03-10,2020-03-10,283,57
GV8,2020-03-17,2020-03-17,283,206
GV8,2020-03-24,2020-03-24,283,223
GV8,2020-03-31,2020-03-31,283,50
GV8,2020-04-07,2020-04-07,283,74
GV8,2020-04-14,2020-04-14,283,29
GV8,2020-04-21,2020-04-21,283,158
GV8,2020-04-28,2020-04-28,283,186
GV8,2020-05-05,2020-05-05,283,168
GV8,2020-05-12,2020-05-12,283,95
GV8,2020-05-19,2020-05-19,283,4
GV8,2020-05-26,2020-05-26,283,5
GV8,2020-06-02,2020-06-02,283,62
GV8,2020-06-09,2020-06-09,283,230
GV8,2020-06-16,2020-06-16,283,140
GV8,2020-06-23,2020-06-23,283,146
GV8,2020-06-30,2020-06-30,283,207
GV8,2020-07-07,2020-07-07,283,68
GV8,2020-07-14,2020-07-14,283,30
GV8,2020-07-21,2020-07-21,283,14
GV8,2020-07-28,2020-07-28,283,81
GV8,2020-08-04,2020-08-04,283,111
GV8,2020-08-11,2020-08-11,283,85
GV8,2020-08-18,2020-08-18,283,82
GV8,2020-08-25,2020-08-25,283,184
GV8,2020-09-01,2020-09-01,283,28
GV8,2020-09-08,2020-09-08,283,215
GV8,2020-09-15,2020-09-15,283,23
GV8,2020-09-22,2020-09-22,283,205
GV8,2020-09-29,2020-09-29,283,28
GV8,2020-10-06,2020-10-06,283,12
GV8,2020-10-13,2020-10-13,283,84
GV8,2020-10-20,2020-10-20,283,170
GV8,2020-10-27,2020-10-27,283,245
GV8,2020-11-03,2020-11-03,283,58
GV8,2020-11-10,2020-11-10,283,255
GV8,2020-11-17,2020-11-17,283,49
GV8,2020-11-24,2020-11-24,283,212
AL9,2020-01-06,2020-01-06,712,32
AL9,2020-01-13,2020-01-13,712,194
AL9,2020-01-20,2020-01-20,712,609
AL9,2020-01-27,2020-01-27,712,682
AL9,2020-02-03,2020-02-03,712,324
AL9,2020-02-10,2020-02-10,712,684
AL9,2020-02-17,2020-02-17,712,29
AL9,2020-02-24,2020-02-24,712,60
AL9,2020-03-02,2020-03-02,712,353
AL9,2020-03-09,2020-03-09,712,317
AL9,2020-03-16,2020-03-16,712,83
AL9,2020-03-23,2020-03-23,712,238
AL9,2020-03-30,2020-03-30,712,448
AL9,2020-04-06,2020-04-06,712,31
AL9,2020-04-13,2020-04-13,712,100
AL9,2020-04-20,2020-04-20,712,500
AL9,2020-04-27,2020-04-27,712,497
AL9,2020-05-04,2020-05-04,712,217
AL9,2020-05-11,2020-05-11,712,118
AL9,2020-05-18,2020-05-18,712,109
AL9,2020-05-25,2020-05-25,712,603
AL9,2020-06-01,2020-06-01,712,677
AL9,2020-06-08,2020-06-08,712,151
AL9,2020-06-15,2020-06-15,712,190
AL9,2020-06-22,2020-06-22,712,558
AL9,2020-06-29,2020-06-29,712,251
AL9,2020-07-06,2020-07-06,712,636
AL9,2020-07-13,2020-07-13,712,242
AL9,2020-07-20,2020-07-20,712,362
AL9,2020-07-27,2020-07-27,712,523
AL9,2020-08-03,2020-08-03,712,516
AL9,2020-08-10,2020-08-10,712,140
AL9,2020-08-17,2020-08-17,712,615
AL9,2020-08-24,2020-08-24,712,646
AL9,2020-08-31,2020-08-31,712,497
AL9,2020-09-07,2020-09-07,712,331
AL9,2020-09-14,2020-09-14,712,626
AL9,2020-09-21,2020-09-21,712,398
AL9,2020-09-28,2020-09-28,712,585
AL9,2020-10-05,2020-10-05,712,600
AL9,2020-10-12,2020-10-12,712,206
AL9,2020-10-19,2020-10-19,712,309
AL9,2020-10-26,2020-10-26,712,171
AL9,2020-11-02,2020-11-02,712,372
AL9,2020-11-09,2020-11-09,712,712
AL9,2020-11-16,2020-11-16,712,588
AL9,2020-11-23,2020-11-23,712,107
I610,2020-01-02,2020-01-02,669,402
I610,2020-01-09,2020-01-09,669,337
I610,2020-01-16,2020-01-16,669,447
I610,2020-01-23,2020-01-23,669,47
I610,2020-01-30,2020-01-30,669,298
I610,2020-02-06,2020-02-06,669,432
I610,2020-02-13,2020-02-13,669,3
I610,2020-02-20,2020-02-20,669,27
I610,2020-02-27,2020-02-27,669,49
I610,2020-03-05,2020-03-05,669,474
I610,2020-03-12,2020-03-12,669,406
I610,2020-03-19,2020-03-19,669,241
I610,2020-03-26,2020-03-26,669,250
I610,2020-04-02,2020-04-02,669,273
I610,2020-04-09,2020-04-09,669,43
I610,2020-04-16,2020-04-16,669,527
I610,2020-04-23,2020-04-23,669,222
I610,2020-04-30,2020-04-30,669,229
I610,2020-05-07,2020-05-07,669,599
I610,2020-05-14,2020-05-14,669,452
I610,2020-05-21,2020-05-21,669,345
I610,2020-05-28,2020-05-28,669,350
I610,2020-06-04,2020-06-04,669,313
I610,2020-06-11,2020-06-11,669,174
I610,2020-06-18,2020-06-18,669,624
I610,2020-06-25,2020-06-25,669,320
I610,2020-07-02,2020-07-02,669,564
I610,2020-07-09,2020-07-09,669,116
I610,2020-07-16,2020-07-16,669,547
I610,2020-07-23,2020-07-23,669,442
I610,2020-07-30,2020-07-30,669,279
I610,2020-08-06,2020-08-06,669,89
I610,2020-08-13,2020-08-13,669,151
I610,2020-08-20,2020-08-20,669,9
I610,2020-08-27,2020-08-27,669,529
I610,2020-09-03,2020-09-03,669,253
I610,2020-09-10,2020-09-10,669,664
I610,2020-09-17,2020-09-17,669,314
I610,2020-09-24,2020-09-24,669,247
I610,2020-10-01,2020-10-01,669,265
I610,2020-10-08,2020-10-08,669,506
I610,2020-10-15,2020-10-15,669,420
I610,2020-10-22,2020-10-22,669,328
I610,2020-10-29,2020-10-29,669,131
I610,2020-11-05,2020-11-05,669,152
I610,2020-11-12,2020-11-12,669,54
I610,2020-11-19,2020-11-19,669,186
AK11,2020-01-07,2020-01-07,980,671
AK11,2020-01-14,2020-01-14,980,680
AK11,2020-01-21,2020-01-21,980,616
AK11,2020-01-28,2020-01-28,980,789
AK11,2020-02-04,2020-02-04,980,778
AK11,2020-02-11,2020-02-11,980,230
AK11,2020-02-18,2020-02-18,980,178
AK11,2020-02-25,2020-02-25,980,399
AK11,2020-03-03,2020-03-03,980,36
AK11,2020-03-10,2020-03-10,980,750
AK11,2020-03-17,2020-03-17,980,906
AK11,2020-03-24,2020-03-24,980,870
AK11,2020-03-31,2020-03-31,980,365
AK11,2020-04-07,2020-04-07,980,452
AK11,2020-04-14,2020-04-14,980,25
AK11,2020-04-21,2020-04-21,980,456
AK11,2020-04-28,2020-04-28,980,555
AK11,2020-05-05,2020-05-05,980,431
AK11,2020-05-12,2020-05-12,980,916
AK11,2020-05-19,2020-05-19,980,333
AK11,2020-05-26,2020-05-26,980,626
AK11,2020-06-02,2020-06-02,980,277
AK11,2020-06-09,2020-06-09,980,564
AK11,2020-06-16,2020-06-16,980,101
AK11,2020-06-23,2020-06-23,980,592
AK11,2020-06-30,2020-06-30,980,797
AK11,2020-07-07,2020-07-07,980,457
AK11,2020-07-14,2020-07-14,980,598
AK11,2020-07-21,2020-07-21,980,732
AK11,2020-07-28,2020-07-28,980,701
AK11,2020-08-04,2020-08-04,980,921
AK11,2020-08-11,2020-08-11,980,970
AK11,2020-08-18,2020-08-18,980,276
AK11,2020-08-25,2020-08-25,980,545
AK11,2020-09-01,2020-09-01,980,25
AK11,2020-09-08,2020-09-08,980,304
AK11,2020-09-15,2020-09-15,980,70
AK11,2020-09-22,2020-09-22,980,613
AK11,2020-09-29,2020-09-29,980,730
AK11,2020-10-06,2020-10-06,980,741
AK11,2020-10-13,2020-10-13,980,354
AK11,2020-10-20,2020-10-20,980,297
AK11,2020-10-27,2020-10-27,980,771
AK11,2020-11-03,2020-11-03,980,861
AK11,2020-11-10,2020-11-10,980,454
AK11,2020-11-17,2020-11-17,980,710
AK11,2020-11-24,2020-11-24,980,352
5E12,2020-01-05,2020-01-05,448,362
5E12,2020-01-12,2020-01-12,448,385
5E12,2020-01-19,2020-01-19,448,252
5E12,2020-01-26,2020-01-26,448,156
5E12,2020-02-02,2020-02-02,448,355
5E12,2020-02-09,2020-02-09,448,87
5E12,2020-02-16,2020-02-16,448,163
5E12,2020-02-23,2020-02-23,448,378
5E12,2020-03-01,2020-03-01,448,50
5E12,2020-03-08,2020-03-08,448,224
5E12,2020-03-15,2020-03-15,448,381
5E12,2020-03-22,2020-03-22,448,158
5E12,2020-03-29,2020-03-29,448,232
5E12,2020-04-05,2020-04-05,448,281
5E12,2020-04-12,2020-04-12,448,165
5E12,2020-04-19,2020-04-19,448,435
5E12,2020-04-26,2020-04-26,448,28
5E12,2020-05-03,2020-05-03,448,408
5E12,2020-05-10,2020-05-10,448,267
5E12,2020-05-17,2020-05-17,448,395
5E12,2020-05-24,2020-05-24,448,244
5E12,2020-05-31,2020-05-31,448,187
5E12,2020-06-07,2020-06-07,448,110
5E12,2020-06-14,2020-06-14,448,437
5E12,2020-06-21,2020-06-21,448,378
5E12,2020-06-28,2020-06-28,448,53
5E12,2020-07-05,2020-07-05,448,415
5E12,2020-07-12,2020-07-12,448,226
5E12,2020-07-19,2020-07-19,448,158
5E12,2020-07-26,2020-07-26,448,322
5E12,2020-08-02,2020-08-02,448,408
5E12,2020-08-09,2020-08-09,448,21
5E12,2020-08-16,2020-08-16,448,118
5E12,2020-08-23,2020-08-23,448,333
5E12,2020-08-30,2020-08-30,448,326
5E12,2020-09-06,2020-09-06,448,411
5E12,2020-09-13,2020-09-13,448,267
5E12,2020-09-20,2020-09-20,448,10
5E12,2020-09-27,2020-09-27,448,163
5E12,2020-10-04,2020-10-04,448,237
5E12,2020-10-11,2020-10-11,448,299
5E12,2020-10-18,2020-10-18,448,203
5E12,2020-10-25,2020-10-25,448,297
5E12,2020-11-01,2020-11-01,448,252
5E12,2020-11-08,2020-11-08,448,304
5E12,2020-11-15,2020-11-15,448,254
5E12,2020-11-22,2020-11-22,448,333
TP13,2020-01-07,2020-01-07,747,318
TP13,2020-01-14,2020-01-14,747,600
TP13,2020-01-21,2020-01-21,747,132
TP13,2020-01-28,2020-01-28,747,398
TP13,2020-02-04,2020-02-04,747,671
TP13,2020-02-11,2020-02-11,747,459
TP13,2020-02-18,2020-02-18,747,146
TP13,2020-02-25,2020-02-25,747,534
TP13,2020-03-03,2020-03-03,747,484
TP13,2020-03-10,2020-03-10,747,747
TP13,2020-03-17,2020-03-17,747,642
TP13,2020-03-24,2020-03-24,747,442
TP13,2020-03-31,2020-03-31,747,540
TP13,2020-04-07,2020-04-07,747,277
TP13,2020-04-14,2020-04-14,747,37
TP13,2020-04-21,2020-04-21,747,457
TP13,2020-04-28,2020-04-28,747,166
TP13,2020-05-05,2020-05-05,747,355
TP13,2020-05-12,2020-05-12,747,265
TP13,2020-05-19,2020-05-19,747,5
TP13,2020-05-26,2020-05-26,747,41
TP13,2020-06-02,2020-06-02,747,323
TP13,2020-06-09,2020-06-09,747,191
TP13,2020-06-16,2020-06-16,747,714
