seatNo,seatStatus,flightNo,departureDate
1E,Sold,XY627,2020-09-30
1F,Available,XY627,2020-09-30
2A,Sold,XY627,2020-09-30
2B,Sold,XY627,2020-09-30
2C,Available,XY627,2020-09-30
2D,Sold,XY627,2020-09-30
2E,Available,XY627,2020-09-30
2F,Sold,XY627,2020-09-30
3A,Sold,XY627,2020-09-30
3B,Available,XY627,2020-09-30
3C,Available,XY627,2020-09-30
3D,Available,XY627,2020-09-30
3E,Sold,XY627,2020-09-30
3F,Available,XY627,2020-09-30
1A,Sold,V3599,2020-02-06
1B,Available,V3599,2020-02-06
1C,Sold,V3599,2020-02-06
1D,Available,V3599,2020-02-06
1E,Available,V3599,2020-02-06
1F,Available,V3599,2020-02-06
2A,Available,V3599,2020-02-06
2B,Sold,V3599,2020-02-06
2C,Sold,V3599,2020-02-06
2D,Sold,V3599,2020-02-06
2E,Available,V3599,2020-02-06
2F,Sold,V3599,2020-02-06
3A,Sold,V3599,2020-02-06
3B,Available,V3599,2020-02-06
3C,Sold,V3599,2020-02-06
3D,Sold,V3599,2020-02-06
3E,Sold,V3599,2020-02-06
3F,Available,V3599,2020-02-06
1A,Sold,XR984,2020-07-17
1B,Available,XR984,2020-07-17
1C,Sold,XR984,2020-07-17
1D,Available,XR984,2020-07-17
1E,Sold,XR984,2020-07-17
1F,Sold,XR984,2020-07-17
2A,Sold,XR984,2020-07-17
2B,Sold,XR984,2020-07-17
2C,Sold,XR984,2020-07-17
2D,Available,XR984,2020-07-17
2E,Available,XR984,2020-07-17
2F,Sold,XR984,2020-07-17
3A,Available,XR984,2020-07-17
3B,Sold,XR984,2020-07-17
3C,Available,XR984,2020-07-17
3D,Available,XR984,2020-07-17
3E,Sold,XR984,2020-07-17
3F,Sold,XR984,2020-07-17
1A,Sold,UZ855,2020-07-30
1B,Sold,UZ855,2020-07-30
1C,Sold,UZ855,2020-07-30
1D,Sold,UZ855,2020-07-30
1E,Available,UZ855,2020-07-30
1F,Sold,UZ855,2020-07-30
2A,Sold,UZ855,2020-07-30
2B,Available,UZ855,2020-07-30
2C,Sold,UZ855,2020-07-30
2D,Available,UZ855,2020-07-30
2E,Sold,UZ855,2020-07-30
2F,Available,UZ855,2020-07-30
3A,Sold,UZ855,2020-07-30
3B,Sold,UZ855,2020-07-30
3C,Sold,UZ855,2020-07-30
3D,Sold,UZ855,2020-07-30
3E,Sold,UZ855,2020-07-30
3F,Sold,UZ855,2020-07-30
1A,Sold,PZ989,2020-09-15
1B,Available,PZ989,2020-09-15
1C,Available,PZ989,2020-09-15
1D,Available,PZ989,2020-09-15
1E,Available,PZ989,2020-09-15
1F,Sold,PZ989,2020-09-15
2A,Available,PZ989,2020-09-15
2B,Sold,PZ989,2020-09-15
2C,Sold,PZ989,2020-09-15
2D,Sold,PZ989,2020-09-15
2E,Sold,PZ989,2020-09-15
2F,Available,PZ989,2020-09-15
3A,Available,PZ989,2020-09-15
3B,Sold,PZ989,2020-09-15
3C,Available,PZ989,2020-09-15
3D,Sold,PZ989,2020-09-15
3E,Available,PZ989,2020-09-15
3F,Available,PZ989,2020-09-15
1A,Available,UT428,2020-02-27
1B,Available,UT428,2020-02-27
1C,Sold,UT428,2020-02-27
1D,Available,UT428,2020-02-27
1E,Available,UT428,2020-02-27
1F,Available,UT428,2020-02-27
2A,Available,UT428,2020-02-27
2B,Sold,UT428,2020-02-27
2C,Sold,UT428,2020-02-27
2D,Available,UT428,2020-02-27
2E,Available,UT428,2020-02-27
2F,Available,UT428,2020-02-27
3A,Available,UT428,2020-02-27
3B,Sold,UT428,2020-02-27
3C,Available,UT428,2020-02-27
3D,Sold,UT428,2020-02-27
3E,Available,UT428,2020-02-27
3F,Available,UT428,2020-02-27
1A,Sold,UE336,2020-05-03
1B,Available,UE336,2020-05-03
1C,Available,UE336,2020-05-03
1D,Available,UE336,2020-05-03
1E,Available,UE336,2020-05-03
1F,Available,UE336,2020-05-03
2A,Sold,UE336,2020-05-03
2B,Available,UE336,2020-05-03
2C,Sold,UE336,2020-05-03
2D,Available,UE336,2020-05-03
2E,Sold,UE336,2020-05-03
2F,Sold,UE336,2020-05-03
3A,Sold,UE336,2020-05-03
3B,Available,UE336,2020-05-03
3C,Available,UE336,2020-05-03
3D,Sold,UE336,2020-05-03
3E,Available,UE336,2020-05-03
3F,Sold,UE336,2020-05-03
1A,Sold,NY742,2020-01-20
1B,Sold,NY742,2020-01-20
1C,Sold,NY742,2020-01-20
1D,Sold,NY742,2020-01-20
1E,Available,NY742,2020-01-20
1F,Available,NY742,2020-01-20
2A,Available,NY742,2020-01-20
2B,Available,NY742,2020-01-20
2C,Sold,NY742,2020-01-20
2D,Sold,NY742,2020-01-20
2E,Available,NY742,2020-01-20
2F,Sold,NY742,2020-01-20
3A,Available,NY742,2020-01-20
3B,Available,NY742,2020-01-20
3C,Available,NY742,2020-01-20
3D,Available,NY742,2020-01-20
3E,Available,NY742,2020-01-20
3F,Available,NY742,2020-01-20
1A,Available,PW378,2020-03-30
1B,Available,PW378,2020-03-30
1C,Available,PW378,2020-03-30
1D,Sold,PW378,2020-03-30
1E,Sold,PW378,2020-03-30
1F,Available,PW378,2020-03-30
2A,Sold,PW378,2020-03-30
2B,Sold,PW378,2020-03-30
2C,Available,PW378,2020-03-30
2D,Available,PW378,2020-03-30
2E,Available,PW378,2020-03-30
2F,Available,PW378,2020-03-30
3A,Available,PW378,2020-03-30
3B,Available,PW378,2020-03-30
3C,Sold,PW378,2020-03-30
3D,Sold,PW378,2020-03-30
3E,Sold,PW378,2020-03-30
3F,Available,PW378,2020-03-30
1A,Available,DH254,2020-10-07
1B,Available,DH254,2020-10-07
1C,Sold,DH254,2020-10-07
1D,Available,DH254,2020-10-07
1E,Sold,DH254,2020-10-07
1F,Sold,DH254,2020-10-07
2A,Sold,DH254,2020-10-07
2B,Sold,DH254,2020-10-07
2C,Sold,DH254,2020-10-07
2D,Available,DH254,2020-10-07
2E,Available,DH254,2020-10-07
2F,Available,DH254,2020-10-07
3A,Sold,DH254,2020-10-07
3B,Sold,DH254,2020-10-07
3C,Sold,DH254,2020-10-07
3D,Sold,DH254,2020-10-07
3E,Sold,DH254,2020-10-07
3F,Available,DH254,2020-10-07
1A,Available,TP13,2020-11-10
1B,Sold,TP13,2020-11-10
1C,Sold,TP13,2020-11-10
1D,Available,TP13,2020-11-10
1E,Available,TP13,2020-11-10
1F,Sold,TP13,2020-11-10
2A,Sold,TP13,2020-11-10
2B,Sold,TP13,2020-11-10
2C,Sold,TP13,2020-11-10
2D,Sold,TP13,2020-11-10
2E,Available,TP13,2020-11-10
2F,Available,TP13,2020-11-10
3A,Available,TP13,2020-11-10
3B,Sold,TP13,2020-11-10
3C,Sold,TP13,2020-11-10
3D,Sold,TP13,2020-11-10
3E,Sold,TP13,2020-11-10
3F,Sold,TP13,2020-11-10
1A,Available,TC719,2020-09-19
1B,Available,TC719,2020-09-19
1C,Sold,TC719,2020-09-19
1D,Available,TC719,2020-09-19
1E,Sold,TC719,2020-09-19
1F,Available,TC719,2020-09-19
2A,Available,TC719,2020-09-19
2B,Available,TC719,2020-09-19
2C,Sold,TC719,2020-09-19
2D,Available,TC719,2020-09-19
2E,Available,TC719,2020-09-19
2F,Available,TC719,2020-09-19
3A,Available,TC719,2020-09-19
3B,Available,TC719,2020-09-19
3C,Sold,TC719,2020-09-19
3D,Sold,TC719,2020-09-19
3E,Available,TC719,2020-09-19
3F,Available,TC719,2020-09-19
1A,Sold,PQ187,2020-06-12
1B,Sold,PQ187,2020-06-12
1C,Sold,PQ187,2020-06-12
1D,Sold,PQ187,2020-06-12
1E,Available,PQ187,2020-06-12
1F,Available,PQ187,2020-06-12
2A,Sold,PQ187,2020-06-12
2B,Available,PQ187,2020-06-12
2C,Available,PQ187,2020-06-12
2D,Available,PQ187,2020-06-12
2E,Sold,PQ187,2020-06-12
2F,Sold,PQ187,2020-06-12
3A,Sold,PQ187,2020-06-12
3B,Available,PQ187,2020-06-12
3C,Sold,PQ187,2020-06-12
3D,Available,PQ187,2020-06-12
3E,Available,PQ187,2020-06-12
3F,Available,PQ187,2020-06-12
1A,Sold,7F818,2020-02-22
1B,Available,7F818,2020-02-22
1C,Available,7F818,2020-02-22
1D,Sold,7F818,2020-02-22
1E,Available,7F818,2020-02-22
1F,Sold,7F818,2020-02-22
2A,Sold,7F818,2020-02-22
2B,Available,7F818,2020-02-22
2C,Sold,7F818,2020-02-22
2D,Available,7F818,2020-02-22
2E,Available,7F818,2020-02-22
2F,Available,7F818,2020-02-22
3A,Sold,7F818,2020-02-22
3B,Sold,7F818,2020-02-22
3C,Available,7F818,2020-02-22
3D,Sold,7F818,2020-02-22
3E,Sold,7F818,2020-02-22
3F,Sold,7F818,2020-02-22
1A,Available,JZ736,2020-11-09
1B,Sold,JZ736,2020-11-09
1C,Sold,JZ736,2020-11-09
1D,Sold,JZ736,2020-11-09
1E,Sold,JZ736,2020-11-09
1F,Sold,JZ736,2020-11-09
2A,Available,JZ736,2020-11-09
2B,Available,JZ736,2020-11-09
2C,Sold,JZ736,2020-11-09
2D,Available,JZ736,2020-11-09
2E,Sold,JZ736,2020-11-09
2F,Available,JZ736,2020-11-09
3A,Sold,JZ736,2020-11-09
3B,Sold,JZ736,2020-11-09
3C,Sold,JZ736,2020-11-09
3D,Available,JZ736,2020-11-09
3E,Available,JZ736,2020-11-09
3F,Sold,JZ736,2020-11-09
1A,Sold,FU456,2020-04-24
1B,Sold,FU456,2020-04-24
1C,Sold,FU456,2020-04-24
1D,Sold,FU456,2020-04-24
1E,Sold,FU456,2020-04-24
1F,Available,FU456,2020-04-24
2A,Sold,FU456,2020-04-24
2B,Available,FU456,2020-04-24
2C,Available,FU456,2020-04-24
2D,Sold,FU456,2020-04-24
2E,Available,FU456,2020-04-24
2F,Available,FU456,2020-04-24
3A,Sold,FU456,2020-04-24
3B,Sold,FU456,2020-04-24
3C,Available,FU456,2020-04-24
3D,Sold,FU456,2020-04-24
3E,Available,FU456,2020-04-24
3F,Sold,FU456,2020-04-24
1A,Available,XV148,2020-02-25
1B,Sold,XV148,2020-02-25
1C,Available,XV148,2020-02-25
1D,Available,XV148,2020-02-25
1E,Available,XV148,2020-02-25
1F,Available,XV148,2020-02-25
2A,Available,XV148,2020-02-25
2B,Sold,XV148,2020-02-25
2C,Available,XV148,2020-02-25
2D,Sold,XV148,2020-02-25
2E,Available,XV148,2020-02-25
2F,Available,XV148,2020-02-25
3A,Sold,XV148,2020-02-25
3B,Sold,XV148,2020-02-25
3C,Sold,XV148,2020-02-25
3D,Sold,XV148,2020-02-25
3E,Sold,XV148,2020-02-25
3F,Sold,XV148,2020-02-25
1A,Sold,DN372,2020-02-26
1B,Sold,DN372,2020-02-26
1C,Available,DN372,2020-02-26
1D,Sold,DN372,2020-02-26
1E,Sold,DN372,2020-02-26
1F,Sold,DN372,2020-02-26
2A,Available,DN372,2020-02-26
2B,Sold,DN372,2020-02-26
2C,Sold,DN372,2020-02-26
2D,Available,DN372,2020-02-26
2E,Available,DN372,2020-02-26
2F,Available,DN372,2020-02-26
3A,Available,DN372,2020-02-26
3B,Available,DN372,2020-02-26
3C,Sold,DN372,2020-02-26
3D,Available,DN372,2020-02-26
3E,Sold,DN372,2020-02-26
3F,Available,DN372,2020-02-26
1A,Sold,3R470,2020-01-06
1B,Available,3R470,2020-01-06
1C,Sold,3R470,2020-01-06
1D,Available,3R470,2020-01-06
1E,Available,3R470,2020-01-06
1F,Sold,3R470,2020-01-06
2A,Available,3R470,2020-01-06
2B,Available,3R470,2020-01-06
2C,Available,3R470,2020-01-06
2D,Available,3R470,2020-01-06
2E,Sold,3R470,2020-01-06
2F,Sold,3R470,2020-01-06
3A,Sold,3R470,2020-01-06
3B,Available,3R470,2020-01-06
3C,Available,3R470,2020-01-06
3D,Sold,3R470,2020-01-06
3E,Sold,3R470,2020-01-06
3F,Sold,3R470,2020-01-06
1A,Available,NP345,2020-06-04
1B,Available,NP345,2020-06-04
1C,Available,NP345,2020-06-04
1D,Available,NP345,2020-06-04
1E,Sold,NP345,2020-06-04
1F,Sold,NP345,2020-06-04
2A,Available,NP345,2020-06-04
2B,Available,NP345,2020-06-04
2C,Available,NP345,2020-06-04
2D,Sold,NP345,2020-06-04
2E,Sold,NP345,2020-06-04
2F,Sold,NP345,2020-06-04
3A,Available,NP345,2020-06-04
3B,Sold,NP345,2020-06-04
3C,Available,NP345,2020-06-04
3D,Sold,NP345,2020-06-04
