seatNo,seatStatus,flightNo,departureDate
1B,Sold,C4523,2020-11-24
1A,Available,5W559,2020-07-12
1B,Sold,5W559,2020-07-12
1A,Available,VO829,2020-09-11
1B,Available,VO829,2020-09-11
1A,Sold,AO320,2020-11-10
1B,Available,AO320,2020-11-10
1A,Sold,ZK314,2020-03-25
1B,Available,ZK314,2020-03-25
1A,Available,PA248,2020-10-23
1B,Sold,PA248,2020-10-23
1A,Available,UB179,2020-01-26
1B,Sold,UB179,2020-01-26
1A,Sold,JW788,2020-06-21
1B,Available,JW788,2020-06-21
1A,Available,IZ914,2020-04-25
1B,Available,IZ914,2020-04-25
1A,Sold,UE336,2020-09-20
1B,Sold,UE336,2020-09-20
1A,Sold,WF871,2020-06-02
1B,Sold,WF871,2020-06-02
1A,Available,A747,2020-08-04
1B,Available,A747,2020-08-04
1A,Sold,W4612,2020-01-30
1B,Available,W4612,2020-01-30
1A,Available,M1474,2020-11-13
1B,Sold,M1474,2020-11-13
1A,Available,TD571,2020-02-05
1B,Sold,TD571,2020-02-05
1A,Sold,YL883,2020-09-05
1B,Available,YL883,2020-09-05
1A,Available,PF725,2020-01-21
1B,Sold,PF725,2020-01-21
1A,Sold,PA546,2020-10-28
1B,Sold,PA546,2020-10-28
1A,Available,E2236,2020-08-19
1B,Available,E2236,2020-08-19
1A,Sold,4T196,2020-04-06
1B,Sold,4T196,2020-04-06
1A,Available,R4629,2020-03-23
1B,Sold,R4629,2020-03-23
1A,Available,DU705,2020-09-24
1B,Available,DU705,2020-09-24
1A,Available,GV8,2020-05-19
1B,Available,GV8,2020-05-19
1A,Sold,VU630,2020-06-10
1B,Available,VU630,2020-06-10
1A,Sold,2S697,2020-10-08
1B,Available,2S697,2020-10-08
1A,Available,5N532,2020-08-08
1B,Sold,5N532,2020-08-08
1A,Sold,KQ586,2020-03-22
1B,Available,KQ586,2020-03-22
1A,Available,GF567,2020-08-02
1B,Sold,GF567,2020-08-02
1A,Sold,GH46,2020-11-16
1B,Sold,GH46,2020-11-16
1A,Sold,HO352,2020-11-19
1B,Sold,HO352,2020-11-19
1A,Available,MO221,2020-08-29
1B,Sold,MO221,2020-08-29
1A,Available,7K391,2020-09-21
1B,Sold,7K391,2020-09-21
1A,Available,VX650,2020-06-03
1B,Sold,VX650,2020-06-03
1A,Sold,UR462,2020-06-20
1B,Sold,UR462,2020-06-20
1A,Sold,KH832,2020-03-20
1B,Sold,KH832,2020-03-20
1A,Available,KR505,2020-04-29
1B,Sold,KR505,2020-04-29
1A,Sold,SG496,2020-03-13
1B,Available,SG496,2020-03-13
1A,Available,SX468,2020-04-29
1B,Available,SX468,2020-04-29
1A,Sold,U9852,2020-04-13
1B,Sold,U9852,2020-04-13
1A,Available,DO879,2020-06-30
1B,Available,DO879,2020-06-30
1A,Sold,BK274,2020-11-23
1B,Available,BK274,2020-11-23
1A,Available,RX672,2020-05-20
1B,Sold,RX672,2020-05-20
1A,Sold,XY627,2020-07-01
1B,Available,XY627,2020-07-01
1A,Available,QP61,2020-08-11
1B,Available,QP61,2020-08-11
1A,Sold,MS165,2020-02-21
1B,Sold,MS165,2020-02-21
1A,Sold,8L782,2020-02-03
1B,Available,8L782,2020-02-03
1A,Sold,CH370,2020-01-06
1B,Available,CH370,2020-01-06
1A,Available,9V401,2020-10-26
1B,Available,9V401,2020-10-26
1A,Sold,4D398,2020-10-07
1B,Available,4D398,2020-10-07
1A,Sold,9C519,2020-08-09
1B,Available,9C519,2020-08-09
1A,Available,I610,2020-07-30
1B,Available,I610,2020-07-30
1A,Available,FD915,2020-06-05
1B,Sold,FD915,2020-06-05
1A,Sold,ZM125,2020-10-18
1B,Sold,ZM125,2020-10-18
1A,Available,MU89,2020-01-11
1B,Available,MU89,2020-01-11
1A,Available,CZ527,2020-05-08
1B,Available,CZ527,2020-05-08
1A,Sold,OX785,2020-07-16
1B,Sold,OX785,2020-07-16
1A,Sold,CW24,2020-06-22
1B,Sold,CW24,2020-06-22
1A,Sold,5E385,2020-04-01
1B,Available,5E385,2020-04-01
1A,Sold,U7739,2020-10-26
1B,Available,U7739,2020-10-26
1A,Available,6G583,2020-09-08
1B,Sold,6G583,2020-09-08
1A,Available,B7666,2020-10-04
1B,Available,B7666,2020-10-04
1A,Available,MO221,2020-06-06
1B,Sold,MO221,2020-06-06
1A,Available,V2300,2020-03-27
1B,Available,V2300,2020-03-27
1A,Available,GW540,2020-11-06
1B,Available,GW540,2020-11-06
1A,Available,3G581,2020-05-19
1B,Available,3G581,2020-05-19
1A,Sold,DF381,2020-05-28
1B,Sold,DF381,2020-05-28
1A,Sold,6I515,2020-09-05
1B,Sold,6I515,2020-09-05
1A,Available,IN445,2020-04-18
1B,Sold,IN445,2020-04-18
1A,Sold,5W280,2020-04-22
1B,Sold,5W280,2020-04-22
1A,Available,E5202,2020-02-15
1B,Sold,E5202,2020-02-15
1A,Available,3W491,2020-03-14
1B,Available,3W491,2020-03-14
1A,Sold,ZS624,2020-10-22
1B,Sold,ZS624,2020-10-22
1A,Available,5E292,2020-03-13
1B,Sold,5E292,2020-03-13
1A,Sold,I6686,2020-03-15
1B,Available,I6686,2020-03-15
1A,Available,J9552,2020-09-04
1B,Sold,J9552,2020-09-04
1A,Available,J8525,2020-04-21
1B,Sold,J8525,2020-04-21
1A,Sold,AI911,2020-05-29
1B,Sold,AI911,2020-05-29
1A,Available,8K76,2020-11-06
1B,Available,8K76,2020-11-06
1A,Sold,EO536,2020-02-16
1B,Available,EO536,2020-02-16
1A,Sold,DH254,2020-03-18
1B,Sold,DH254,2020-03-18
1A,Sold,5J849,2020-06-06
1B,Sold,5J849,2020-06-06
1A,Available,JY661,2020-09-03
1B,Available,JY661,2020-09-03
1A,Available,PT420,2020-01-30
1B,Available,PT420,2020-01-30
1A,Sold,5C720,2020-01-10
1B,Available,5C720,2020-01-10
1A,Available,VI889,2020-09-15
1B,Available,VI889,2020-09-15
1A,Sold,6W952,2020-05-05
1B,Sold,6W952,2020-05-05
1A,Available,UR390,2020-10-20
1B,Sold,UR390,2020-10-20
1A,Sold,ES902,2020-10-05
1B,Available,ES902,2020-10-05
1A,Sold,5Q36,2020-10-13
1B,Sold,5Q36,2020-10-13
1A,Sold,4L653,2020-04-06
1B,Available,4L653,2020-04-06
1A,Sold,AC475,2020-07-18
1B,Available,AC475,2020-07-18
1A,Available,VL512,2020-07-14
1B,Available,VL512,2020-07-14
1A,Sold,Z8201,2020-07-06
1B,Sold,Z8201,2020-07-06
1A,Available,ZP6,2020-01-20
1B,Available,ZP6,2020-01-20
1A,Sold,6R447,2020-03-07
1B,Sold,6R447,2020-03-07
1A,Available,LW268,2020-07-15
1B,Sold,LW268,2020-07-15
1A,Sold,MS50,2020-02-28
1B,Sold,MS50,2020-02-28
1A,Sold,Y5263,2020-06-03
1B,Sold,Y5263,2020-06-03
1A,Available,1B77,2020-11-22
1B,Sold,1B77,2020-11-22
1A,Available,PJ755,2020-06-21
1B,Available,PJ755,2020-06-21
1A,Available,MF930,2020-01-12
1B,Available,MF930,2020-01-12
1A,Sold,US853,2020-07-23
1B,Available,US853,2020-07-23
1A,Sold,XJ859,2020-05-25
1B,Sold,XJ859,2020-05-25
1A,Available,L9358,2020-03-19
1B,Available,L9358,2020-03-19
1A,Sold,AD680,2020-01-15
1B,Available,AD680,2020-01-15
1A,Available,Q325,2020-06-08
1B,Available,Q325,2020-06-08
1A,Available,EY147,2020-01-04
1B,Available,EY147,2020-01-04
1A,Available,SO937,2020-08-21
1B,Sold,SO937,2020-08-21
1A,Sold,VL512,2020-05-26
1B,Sold,VL512,2020-05-26
1A,Sold,7O960,2020-02-03
1B,Sold,7O960,2020-02-03
1A,Available,C2554,2020-08-31
1B,Sold,C2554,2020-08-31
1A,Available,NB318,2020-02-21
1B,Available,NB318,2020-02-21
1A,Sold,DI240,2020-06-07
1B,Available,DI240,2020-06-07
1A,Sold,RQ654,2020-09-30
1B,Sold,RQ654,2020-09-30
1A,Sold,9R885,2020-04-22
1B,Available,9R885,2020-04-22
1A,Available,RQ555,2020-01-12
1B,Available,RQ555,2020-01-12
1A,Sold,L540,2020-02-14
1B,Sold,L540,2020-02-14
1A,Sold,LC723,2020-04-12
1B,Sold,LC723,2020-04-12
1A,Sold,S4987,2020-02-20
1B,Available,S4987,2020-02-20
1A,Available,SL23,2020-01-10
1B,Available,SL23,2020-01-10
1A,Available,8T495,2020-06-05
1B,Available,8T495,2020-06-05
1A,Sold,ZK517,2020-05-07
1B,Sold,ZK517,2020-05-07
1A,Sold,R6117,2020-11-10
1B,Available,R6117,2020-11-10
1A,Sold,WQ673,2020-10-01
1B,Sold,WQ673,2020-10-01
1A,Available,9X585,2020-06-09
1B,Available,9X585,2020-06-09
1A,Sold,LN927,2020-11-04
1B,Available,LN927,2020-11-04
1A,Available,JO2,2020-08-04
1B,Available,JO2,2020-08-04
1A,Sold,ZY376,2020-04-28
1B,Available,ZY376,2020-04-28
1A,Available,KC195,2020-07-22
1B,Sold,KC195,2020-07-22
1A,Available,2S697,2020-03-05
1B,Available,2S697,2020-03-05
1A,Available,2N727,2020-04-30
1B,Available,2N727,2020-04-30
1A,Sold,BY442,2020-07-12
1B,Available,BY442,2020-07-12
1A,Available,B0573,2020-03-19
1B,Sold,B0573,2020-03-19
1A,Sold,OY339,2020-07-04
1B,Available,OY339,2020-07-04
1A,Sold,LT743,2020-09-05
1B,Available,LT743,2020-09-05
1A,Available,KC342,2020-10-17
1B,Available,KC342,2020-10-17
1A,Sold,AA913,2020-06-24
1B,Available,AA913,2020-06-24
1A,Sold,V3599,2020-01-02
1B,Sold,V3599,2020-01-02
1A,Sold,IN445,2020-06-27
1B,Sold,IN445,2020-06-27
1A,Sold,TW574,2020-09-09
1B,Sold,TW574,2020-09-09
1A,Available,RQ555,2020-08-23
1B,Available,RQ555,2020-08-23
1A,Available,CG74,2020-10-09
1B,Sold,CG74,2020-10-09
1A,Available,7L683,2020-08-11
1B,Available,7L683,2020-08-11
1A,Available,2X714,2020-05-15
1B,Sold,2X714,2020-05-15
1A,Available,3U943,2020-08-21
1B,Sold,3U943,2020-08-21
1A,Available,8L782,2020-06-08
1B,Sold,8L782,2020-06-08
1A,Available,DP553,2020-09-12
1B,Sold,DP553,2020-09-12
1A,Available,9R178,2020-10-26
1B,Sold,9R178,2020-10-26
1A,Available,Q325,2020-09-07
1B,Sold,Q325,2020-09-07
1A,Sold,FB595,2020-05-19
1B,Available,FB595,2020-05-19
1A,Available,CN636,2020-01-04
1B,Sold,CN636,2020-01-04
1A,Available,U8259,2020-04-30
1B,Sold,U8259,2020-04-30
1A,Sold,2S697,2020-01-23
1B,Available,2S697,2020-01-23
1A,Sold,YZ850,2020-05-02
1B,Sold,YZ850,2020-05-02
1A,Available,RT975,2020-05-12
1B,Available,RT975,2020-05-12
1A,Sold,KA659,2020-11-03
1B,Available,KA659,2020-11-03
1A,Sold,RX421,2020-06-04
1B,Available,RX421,2020-06-04
1A,Available,FT284,2020-07-12
1B,Sold,FT284,2020-07-12
1A,Available,J7488,2020-05-22
1B,Sold,J7488,2020-05-22
1A,Sold,9Q543,2020-02-27
1B,Sold,9Q543,2020-02-27
1A,Available,AR329,2020-06-30
1B,Available,AR329,2020-06-30
1A,Sold,U9353,2020-08-16
1B,Sold,U9353,2020-08-16
1A,Available,2D535,2020-03-05
1B,Available,2D535,2020-03-05
1A,Sold,C1846,2020-09-04
1B,Available,C1846,2020-09-04
1A,Available,Q3676,2020-06-01
1B,Available,Q3676,2020-06-01
1A,Available,WU808,2020-07-08
1B,Sold,WU808,2020-07-08
1A,Sold,YC29,2020-03-26
1B,Sold,YC29,2020-03-26
1A,Sold,V2712,2020-11-11
1B,Sold,V2712,2020-11-11
1A,Sold,AV528,2020-01-03
1B,Available,AV528,2020-01-03
1A,Sold,FW651,2020-06-29
1B,Available,FW651,2020-06-29
1A,Available,QC734,2020-07-23
1B,Sold,QC734,2020-07-23
1A,Sold,IO357,2020-08-15
1B,Available,IO357,2020-08-15
1A,Available,ZE706,2020-02-12
1B,Sold,ZE706,2020-02-12
1A,Sold,UB898,2020-08-08
1B,Available,UB898,2020-08-08
1A,Available,VK271,2020-02-11
1B,Available,VK271,2020-02-11
1A,Available,UU258,2020-01-02
1B,Sold,UU258,2020-01-02
1A,Sold,MW161,2020-11-02
1B,Available,MW161,2020-11-02
1A,Available,T7678,2020-09-29
1B,Sold,T7678,2020-09-29
1A,Sold,5H623,2020-04-05
1B,Sold,5H623,2020-04-05
1A,Available,3O836,2020-07-17
1B,Sold,3O836,2020-07-17
1A,Available,EO536,2020-09-20
1B,Available,EO536,2020-09-20
1A,Available,ZH934,2020-02-05
1B,Sold,ZH934,2020-02-05
1A,Sold,B3310,2020-02-03
1B,Sold,B3310,2020-02-03
1A,Available,AL9,2020-05-25
1B,Available,AL9,2020-05-25
1A,Sold,VC738,2020-09-25
1B,Available,VC738,2020-09-25
1A,Sold,2L156,2020-02-15
1B,Available,2L156,2020-02-15
1A,Sold,PX824,2020-06-02
1B,Sold,PX824,2020-06-02
1A,Available,4L653,2020-11-16
1B,Sold,4L653,2020-11-16
1A,Sold,F5575,2020-10-29
1B,Available,F5575,2020-10-29
1A,Available,7O960,2020-11-16
1B,Sold,7O960,2020-11-16
1A,Available,W2874,2020-09-06
1B,Sold,W2874,2020-09-06
1A,Available,EL406,2020-01-12
1B,Sold,EL406,2020-01-12
1A,Sold,HO352,2020-01-23
1B,Available,HO352,2020-01-23
1A,Sold,B8549,2020-02-12
1B,Available,B8549,2020-02-12
1A,Sold,S8203,2020-05-04
1B,Sold,S8203,2020-05-04
1A,Sold,Z8479,2020-04-23
1B,Sold,Z8479,2020-04-23
1A,Available,XY627,2020-07-15
1B,Available,XY627,2020-07-15
1A,Sold,CU438,2020-04-18
1B,Available,CU438,2020-04-18
1A,Available,VU630,2020-04-29
1B,Sold,VU630,2020-04-29
1A,Available,Q8956,2020-01-29
1B,Sold,Q8956,2020-01-29
1A,Available,WM171,2020-08-14
1B,Available,WM171,2020-08-14
1A,Available,YM57,2020-06-17
1B,Sold,YM57,2020-06-17
1A,Sold,Z3214,2020-08-10
1B,Sold,Z3214,2020-08-10
1A,Sold,PE920,2020-07-28
1B,Available,PE920,2020-07-28
1A,Sold,BV360,2020-11-06
1B,Sold,BV360,2020-11-06
1A,Sold,IQ324,2020-01-02
1B,Available,IQ324,2020-01-02
1A,Sold,3O836,2020-01-10
1B,Available,3O836,2020-01-10
1A,Sold,U8631,2020-04-23
1B,Sold,U8631,2020-04-23
1A,Available,GX275,2020-04-20
1B,Available,GX275,2020-04-20
1A,Sold,L1294,2020-03-07
1B,Available,L1294,2020-03-07
1A,Available,QV882,2020-08-18
1B,Available,QV882,2020-08-18
1A,Sold,AG217,2020-05-12
1B,Available,AG217,2020-05-12
1A,Available,5Y622,2020-04-02
1B,Sold,5Y622,2020-04-02
1A,Available,NB318,2020-08-14
1B,Available,NB318,2020-08-14
1A,Available,I5923,2020-01-28
1B,Sold,I5923,2020-01-28
1A,Sold,W3186,2020-10-27
1B,Sold,W3186,2020-10-27
1A,Sold,2O957,2020-10-21
1B,Sold,2O957,2020-10-21
1A,Available,IO350,2020-04-16
1B,Available,IO350,2020-04-16
1A,Sold,AP990,2020-01-21
1B,Available,AP990,2020-01-21
1A,Sold,H8394,2020-11-12
1B,Available,H8394,2020-11-12
1A,Sold,NW476,2020-01-13
1B,Sold,NW476,2020-01-13
1A,Available,MW161,2020-01-06
1B,Sold,MW161,2020-01-06
1A,Available,HY926,2020-01-03
1B,Sold,HY926,2020-01-03
1A,Available,UK856,2020-05-30
1B,Available,UK856,2020-05-30
1A,Available,Q2435,2020-01-18
1B,Sold,Q2435,2020-01-18
1A,Sold,XT845,2020-03-13
1B,Available,XT845,2020-03-13
1A,Sold,6E335,2020-10-14
1B,Sold,6E335,2020-10-14
1A,Available,4X471,2020-07-16
1B,Available,4X471,2020-07-16
1A,Available,E5806,2020-10-18
1B,Available,E5806,2020-10-18
1A,Available,Q6128,2020-09-25
1B,Available,Q6128,2020-09-25
1A,Available,E5202,2020-02-08
1B,Available,E5202,2020-02-08
1A,Sold,AO144,2020-09-14
1B,Sold,AO144,2020-09-14
1A,Available,IO814,2020-03-20
1B,Sold,IO814,2020-03-20
1A,Available,Z4675,2020-11-04
1B,Available,Z4675,2020-11-04
1A,Available,M3767,2020-09-10
1B,Available,M3767,2020-09-10
1A,Sold,JK951,2020-11-03
1B,Available,JK951,2020-11-03
1A,Sold,V2712,2020-10-21
1B,Available,V2712,2020-10-21
1A,Available,MA58,2020-07-07
1B,Available,MA58,2020-07-07
1A,Available,6C181,2020-02-01
1B,Sold,6C181,2020-02-01
1A,Sold,E4704,2020-10-19
1B,Sold,E4704,2020-10-19
1A,Sold,R4684,2020-10-13
1B,Available,R4684,2020-10-13
1A,Available,8J52,2020-04-28
1B,Available,8J52,2020-04-28
1A,Available,I3893,2020-05-14
1B,Sold,I3893,2020-05-14
1A,Available,ZP909,2020-11-08
1B,Sold,ZP909,2020-11-08
1A,Available,Z4675,2020-07-22
1B,Available,Z4675,2020-07-22
1A,Sold,3T78,2020-11-20
1B,Available,3T78,2020-11-20
1A,Sold,CV432,2020-05-19
1B,Available,CV432,2020-05-19
1A,Sold,X3977,2020-04-14
1B,Sold,X3977,2020-04-14
1A,Available,PV55,2020-01-31
1B,Sold,PV55,2020-01-31
1A,Sold,AO144,2020-05-11
1B,Sold,AO144,2020-05-11
1A,Available,FU456,2020-02-07
1B,Sold,FU456,2020-02-07
1A,Sold,4Z695,2020-05-05
1B,Available,4Z695,2020-05-05
1A,Available,VE69,2020-02-06
1B,Sold,VE69,2020-02-06
1A,Available,UB179,2020-11-15
1B,Sold,UB179,2020-11-15
1A,Available,1B306,2020-03-30
1B,Available,1B306,2020-03-30
1A,Sold,TP13,2020-08-18
1B,Available,TP13,2020-08-18
1A,Available,TX80,2020-10-30
1B,Sold,TX80,2020-10-30
1A,Available,RQ70,2020-03-31
1B,Sold,RQ70,2020-03-31
1A,Available,5P225,2020-05-10
1B,Available,5P225,2020-05-10
1A,Available,XL524,2020-08-14
1B,Available,XL524,2020-08-14
1A,Available,JW769,2020-09-02
1B,Available,JW769,2020-09-02
1A,Available,nan301,2020-11-04
1B,Available,nan301,2020-11-04
1A,Sold,FC267,2020-09-18
1B,Available,FC267,2020-09-18
1A,Sold,AP990,2020-08-18
1B,Available,AP990,2020-08-18
1A,Sold,LC723,2020-10-18
1B,Sold,LC723,2020-10-18
1A,Available,UU805,2020-10-18
1B,Sold,UU805,2020-10-18
1A,Available,9V401,2020-02-17
1B,Available,9V401,2020-02-17
1A,Available,JD626,2020-02-25
1B,Sold,JD626,2020-02-25
1A,Available,BZ88,2020-08-24
1B,Sold,BZ88,2020-08-24
1A,Available,JW497,2020-06-18
1B,Available,JW497,2020-06-18
1A,Sold,MF233,2020-02-07
1B,Sold,MF233,2020-02-07
1A,Sold,Z8201,2020-03-16
1B,Available,Z8201,2020-03-16
1A,Sold,LQ955,2020-07-29
1B,Sold,LQ955,2020-07-29
1A,Sold,U8259,2020-03-05
1B,Sold,U8259,2020-03-05
1A,Sold,DN372,2020-08-26
1B,Available,DN372,2020-08-26
1A,Sold,CW409,2020-04-12
1B,Sold,CW409,2020-04-12
1A,Sold,LS922,2020-06-16
1B,Available,LS922,2020-06-16
1A,Sold,JN931,2020-03-30
1B,Sold,JN931,2020-03-30
1A,Available,1B306,2020-01-06
1B,Sold,1B306,2020-01-06
1A,Sold,5T781,2020-06-04
1B,Sold,5T781,2020-06-04
1A,Sold,AX303,2020-08-25
1B,Available,AX303,2020-08-25
1A,Sold,QP291,2020-03-31
1B,Sold,QP291,2020-03-31
1A,Sold,P9478,2020-07-05
1B,Available,P9478,2020-07-05
1A,Available,V754,2020-03-26
1B,Available,V754,2020-03-26
1A,Available,PT875,2020-09-10
1B,Available,PT875,2020-09-10
1A,Sold,IW529,2020-11-12
1B,Sold,IW529,2020-11-12
1A,Available,EO536,2020-08-02
1B,Sold,EO536,2020-08-02
1A,Available,UP119,2020-08-15
1B,Available,UP119,2020-08-15
1A,Sold,U9852,2020-07-06
1B,Available,U9852,2020-07-06
1A,Sold,WW22,2020-10-29
1B,Sold,WW22,2020-10-29
1A,Sold,ZG159,2020-06-02
1B,Sold,ZG159,2020-06-02
1A,Available,SS464,2020-02-10
1B,Available,SS464,2020-02-10
1A,Sold,6I515,2020-02-22
1B,Sold,6I515,2020-02-22
1A,Available,7J473,2020-04-07
1B,Available,7J473,2020-04-07
1A,Sold,JW308,2020-03-19
1B,Sold,JW308,2020-03-19
1A,Sold,CB120,2020-03-20
1B,Available,CB120,2020-03-20
1A,Available,S6594,2020-09-20
1B,Sold,S6594,2020-09-20
1A,Available,NL592,2020-06-25
1B,Sold,NL592,2020-06-25
1A,Available,OS379,2020-01-27
1B,Available,OS379,2020-01-27
1A,Available,WU261,2020-11-09
1B,Available,WU261,2020-11-09
1A,Sold,BE413,2020-10-23
1B,Sold,BE413,2020-10-23
1A,Available,BE330,2020-11-22
1B,Available,BE330,2020-11-22
1A,Available,V2281,2020-11-12
1B,Available,V2281,2020-11-12
1A,Available,E9905,2020-07-19
1B,Sold,E9905,2020-07-19
1A,Available,ME60,2020-07-05
1B,Sold,ME60,2020-07-05
1A,Available,H3873,2020-07-01
1B,Available,H3873,2020-07-01
1A,Available,XJ859,2020-04-06
1B,Available,XJ859,2020-04-06
1A,Available,BM570,2020-03-21
1B,Available,BM570,2020-03-21
1A,Available,ZJ431,2020-02-10
1B,Available,ZJ431,2020-02-10
1A,Sold,FX744,2020-10-17
1B,Available,FX744,2020-10-17
1A,Available,TR359,2020-03-22
1B,Available,TR359,2020-03-22
1A,Available,3R958,2020-01-09
1B,Available,3R958,2020-01-09
1A,Available,PN31,2020-10-18
1B,Sold,PN31,2020-10-18
1A,Available,P4917,2020-08-03
1B,Sold,P4917,2020-08-03
1A,Sold,T6801,2020-11-10
1B,Available,T6801,2020-11-10
1A,Available,FB595,2020-01-21
1B,Available,FB595,2020-01-21
1A,Available,PL797,2020-05-21
1B,Available,PL797,2020-05-21
1A,Sold,WD175,2020-09-29
1B,Available,WD175,2020-09-29
1A,Sold,JN94,2020-02-20
1B,Available,JN94,2020-02-20
1A,Available,YC807,2020-08-17
1B,Available,YC807,2020-08-17
1A,Available,6G137,2020-02-15
